Topic,Geography,Link,Beinhaltet Klassifizierung,
Andere,Jagdreviergrenzen,https://www.geolion.zh.ch/geodatensatz/321,Nein,
Andere,Forstkreise,https://www.geolion.zh.ch/geodatensatz/890,Nein,
Andere,�berkommunale Naturschutzobjekte und sch�tzenswerte Gebiete (NSO),https://www.geolion.zh.ch/geodatensatz/564,?,
Andere,Zust�ndigkeiten Fachstelle Naturschutz (FNS),https://www.geolion.zh.ch/geodatensatz/663,?,
Andere,WMS Amtliche Vermessung (AVWMS),https://www.geolion.zh.ch/geodatenservice/851,Ja?,
Andere,Arealstatistik,https://www.bfs.admin.ch/bfs/de/home/dienstleistungen/geostat/geodaten-bundesstatistik/boden-nutzung-bedeckung-eignung/arealstatistik-schweiz.html,Ja,
Andere,W�rmenutzung,https://www.geolion.zh.ch/geodatensatz/449,ja,
Andere,Fischereireviere,https://www.geolion.zh.ch/geodatensatz/386,ja,
Andere,Fruchtfolgefl�chen,https://www.geolion.zh.ch/geodatensatz/1484,ja,
Andere,Gew�sserregionen,https://www.geolion.zh.ch/geodatensatz/1283,ja,
Andere,�REB-Kataster,,ja,
Andere,Waldeigentum,https://www.geolion.zh.ch/geodatensatz/1565,ja,
Andere,Landwirtschaftliche Nutzungseignung,https://www.geolion.zh.ch/geodatensatz/1824,ja,
